N,d,l,o,r,m,estimate,target
1000,1,0.75,1.0,11,Sfit,0.008126035528649087,0.0
500,2,0.75,1.0,11,Sfit,0.18786680090565214,0.0
1000,2,0.75,1.0,11,Sfit,0.18799947133619535,0.0
500,3,0.75,1.0,11,Sfit,0.09415282555502531,0.0
1000,3,0.75,1.0,11,Sfit,-0.09390379289842808,0.0
500,4,0.75,1.0,11,Sfit,-0.10339297343311867,0.0
1000,4,0.75,1.0,11,Sfit,0.055045639678610925,0.0
500,1,1.75,1.0,11,Sfit,-0.05971016659313443,0.0
1000,1,1.75,1.0,11,Sfit,0.03324817767220764,0.0
500,2,1.75,1.0,11,Sfit,0.049717029311159615,0.0
1000,2,1.75,1.0,11,Sfit,0.12540502951800744,0.0
500,3,1.75,1.0,11,Sfit,-0.09313433026203041,0.0
1000,3,1.75,1.0,11,Sfit,0.07594900372637224,0.0
500,4,1.75,1.0,11,Sfit,-0.03240512551948663,0.0
1000,4,1.75,1.0,11,Sfit,0.07348092305123866,0.0
500,1,0.75,1.4142135623730951,11,Sfit,-0.09003354337401585,0.0
1000,1,0.75,1.4142135623730951,11,Sfit,0.13446494863604277,0.0
500,2,0.75,1.4142135623730951,11,Sfit,0.18451580596676537,0.0
1000,2,0.75,1.4142135623730951,11,Sfit,0.032469251365738507,0.0
500,3,0.75,1.4142135623730951,11,Sfit,0.24543856007073134,0.0
1000,3,0.75,1.4142135623730951,11,Sfit,0.12619464458269333,0.0
500,4,0.75,1.4142135623730951,11,Sfit,-0.05096052702269801,0.0
1000,4,0.75,1.4142135623730951,11,Sfit,0.14323225575867726,0.0
500,1,1.75,1.4142135623730951,11,Sfit,0.17453540727080205,0.0
1000,1,1.75,1.4142135623730951,11,Sfit,-0.1814309347177659,0.0
500,2,1.75,1.4142135623730951,11,Sfit,-0.02576453049320965,0.0
1000,2,1.75,1.4142135623730951,11,Sfit,0.1766257924014878,0.0
500,3,1.75,1.4142135623730951,11,Sfit,0.24740729027340413,0.0
1000,3,1.75,1.4142135623730951,11,Sfit,0.13520522095841914,0.0
500,4,1.75,1.4142135623730951,11,Sfit,-0.04766118399503396,0.0
1000,4,1.75,1.4142135623730951,11,Sfit,0.16792679012097989,0.0
500,1,0.75,1.0,12,Sfit,-0.02366836347427651,0.0
1000,1,0.75,1.0,12,Sfit,0.07720587595441372,0.0
500,2,0.75,1.0,12,Sfit,0.26912158265965336,0.0
1000,2,0.75,1.0,12,Sfit,0.038225856645904444,0.0
500,3,0.75,1.0,12,Sfit,0.061716947157322455,0.0
1000,3,0.75,1.0,12,Sfit,0.021229502317176817,0.0
500,4,0.75,1.0,12,Sfit,-0.24831506890303306,0.0
1000,4,0.75,1.0,12,Sfit,-0.1088107650259536,0.0
500,1,1.75,1.0,12,Sfit,0.20355510314582456,0.0
